Marque,Famille,Sous_famille,Parfumeur,Prix_Categorie,Fragrance,Origine,Genre,Année,Ingredients_txt,Concepts_txt
Dior,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Francis Kurkdjian,Prestige,DIOR HOMME PARFUM (2025),France,Homme,2025,iris vétiver foin ambre coumarine note tonka patchouli,intense riche robuste puissant nuit rond oriental ambré boisé hiver
Byredo,FLORAL,MUSQUÉ,Jérôme Epinette,Niche,BLANCHE ABSOLU 2025,Suède,Unisexe,2025,cashmeran boisé musqué rose musc aldéhyde néroli ambroxan ambre gris jasmin violette poivre noir,quotidien décontracté automne rond blanc jour propre féminin puissant riche
Roja Parfums,CHYPRE,CITRUS,Inconnu,Niche,APEX EAU INTENSE,Royaume-Uni,Homme,2025,cashmeran boisé musqué bois de santal patchouli feuilles de violettes musc oxyde de rose herbe coupée cèdre sauge sclarée bois flotté menthe crépue cardamome menthe citron poivre résine délémi bergamote helvetolide musk lavande pomelo mandarine ambroxan ambre gris myrrhe,robuste elégant intense riche puissant généreux décontracté sophistiqué exotique féminin
Hermès,BOISÉ,CITRUS,Christine Nagel,Prestige,TERRE D'HERMÈS EAU DE PARFUM INTENSE,France,Homme,2025,café lave réglisse bois fumés bergamote,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Headspace,FLORAL,FLORAL,Dominique Ropion,Niche,ROSE,France,Unisexe,2025,basilic géranium rose menthe vétiver rose turquie bourgeons de cassis benjoin encens olibanum poudre à canon camphre,quotidien floral florissant rond blanc romantique décontracté jour riche féminin
Dolce &amp; Gabbana,FLORAL,FRUITÉ,Nathalie Lorson,Prestige,L'IMPERATRICE ROYALE,Italie,Unisexe,2025,myrtille azalée cèdre virginie,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
THoO / The House of Oud,AMBRÉ (ORIENTAL),GOURMAND,Cristian Calabrò,Niche,L'EXPLICITE,Italie,Unisexe,2025,banane pain cacahuète ambre zeste de citron musc epices chaudes violette ylangylang,intense riche puissant robuste nuit généreux chaud boisé mystique chaleur
Guess,FLORAL,AMBRÉ (ORIENTAL),Ugo Charron,Prestige,GUESS SEDUCTIVE DREAM,États-Unis d'Amérique,Femme,2025,bergamote poire orcanox ambre gris sucre gardénia pomme mugane muguet fruits tropicaux accord boisé ambré jasmin grandiflorum pétale de rose,rond quotidien riche intense robuste puissant décontracté généreux charnel violet
Nicolaï,BOISÉ,BOISÉ,Patricia de Nicolaï,Niche,PATCHOULI SPIRIT x HARRODS,France,Unisexe,2025,cannelle géranium orange bois de santal encens olibanum rose vanille lavande patchouli,intense riche robuste puissant boisé terreux hiver automne marron elégant
Shiseido,FLORAL,BOISÉ,Karine Dubreuil-Sereni,Prestige,GINZA DATURA,Japon,Femme,2025,pamplemousse bois de santal ylangylang datura bois de gaïac,quotidien riche automne intense robuste puissant floral florissant elégant exotique
Carolina Herrera,CUIR,AMBRÉ (ORIENTAL),Jordi Fernández,Niche,STALLION LEATHER SUEDE,États-Unis d'Amérique,Unisexe,2025,vanille encens somalie osmanthus chine fève tonka violette ciste labdanum daim cuir cardamome,intense riche robuste puissant nuit tapeàlœil or profond remarquable affirmé
Tous,FLORAL,FRUITÉ,Julien Plos,Prestige,TOUS SORBET GARDEN,Espagne,Femme,2025,poire pomme rouge bois de santal freesia pivoine fève tonka ylangylang poivre rose mangue patchouli,quotidien coloré exotique floral florissant romantique féminin liberté riche automne
Betty Barclay,FLORAL,FRUITÉ,Coralie Spicher,Mass Market,SOULGARDEN,Allemagne,Femme,2025,cèdre virginie nénuphar cetalox ambre gris jasmin musc rose fleur de pêche bois de santal pomme muguet citron lilas,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Vertus,BOISÉ,AMBRÉ (ORIENTAL),Christian Provenzano,Niche,SÉRÉNADE,France,Unisexe,2025,patchouli baies de genièvre mandarine pamplemousse lavande bergamote osmanthus mousse de chêne vétiver magnolia mangue ciste labdanum musc,robuste intense riche puissant boisé hiver décontracté quotidien marron exotique
Rochas,FLORAL,CITRUS,Natalie Gracia-Cetto,Prestige,EAU DE ROCHAS NEROLI AZUR,France,Unisexe,2025,ambre petitgrain orange sanguine musc citron néroli mandarine,quotidien blanc décontracté jour printemps optimiste liberté radiant ensoleillé gai
Vertus,CHYPRE,CITRUS,Inconnu,Niche,BOIS ET CUIR RAFFINÉ,France,Unisexe,2025,ambre néroli fève tonka lavande cuir ambre gris ciste labdanum bergamote galbanum musc mousse de chêne pamplemousse magnolia bois de santal patchouli,robuste elégant intense riche puissant généreux décontracté exotique sophistiqué féminin
Laurent Mazzone,AMBRÉ (ORIENTAL),FLORAL,Inconnu,Niche,ARMY OF LOVERS (2024),France,Unisexe,2025,jasmin sambac rose pamplemousse rhubarbe vétiver haïti ambre bergamote vanille fève tonka,rond riche intense robuste puissant généreux quotidien nuit tapeàlœil décontracté
Welton London,AMBRÉ (ORIENTAL),FLORAL,Vincent Ricord,Niche,AMBRA INNAMORATA,Royaume-Uni,Unisexe,2025,noisette eau de mer ciste labdanum chêne encens olibanum thym bergamote ambre mousse,rond riche intense robuste puissant décontracté quotidien automne généreux tapeàlœil
HFC,FLORAL,FRUITÉ,Benoit Bergia,Niche,PINK MOON,France,Unisexe,2025,accord peau litchi oud bois dagar camélia pivoine gingembre baume pérou coriandre ambre,quotidien coloré romantique exotique riche jour liberté gai heureux optimiste
Fugazzi,BOISÉ,FRUITÉ,Inconnu,Niche,PASSIONFROUDH,Pays-Bas,Unisexe,2025,baume gurjum gingembre mangue poivre noir fruit de la passion thé noir oud bois dagar cypriol nagarmota,intense riche robuste puissant quotidien boisé automne exotique marron décontracté
Borntostandout,BOISÉ,AMBRÉ (ORIENTAL),Jordi Fernández,Niche,PURPLE STAIN,Corée du Sud,Unisexe,2025,gingembre cannelle patchouli akigalawood note patchouli ambrofix ambre gris cypriol nagarmota noix de muscade ciste labdanum caramel mandarine oud bois dagar bergamote safran vanille fleur doranger baume pérou,intense riche robuste puissant boisé hiver nuit marron noir automne
Borntostandout,BOISÉ,AMBRÉ (ORIENTAL),Margaux Le Paih-Guérin,Niche,OUD CANDY,Corée du Sud,Unisexe,2025,ambroxan ambre gris cèdre vanille notes boisées cuir safran fleurs blanches sucre brun noix caramel lait bonbons bois de santal mousse de chêne oud bois dagar,intense riche puissant robuste boisé hiver nuit automne généreux décontracté
Molton Brown,FLORAL,FRUITÉ,Véronique Nyberg,Niche,BLUEBELL & WILD STRAWBERRY,Royaume-Uni,Unisexe,2025,bois de santal feuilles de violettes bergamote bois flotté galbanum jacinthe des bois ambre gris tubéreuse fraise,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Borntostandout,FLORAL,FRUITÉ,Violaine Collas,Niche,BLACK MANGO,Corée du Sud,Unisexe,2025,baume de tolu bois de santal musc oud bois dagar orange lait cypriol nagarmota vanille bourbon mangue cuir,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Borntostandout,BOISÉ,AMBRÉ (ORIENTAL),Suzy Le Helley,Niche,BLACK GUAVA,Corée du Sud,Unisexe,2025,géranium ambrostar boisé ambré sucre oud bois dagar cypriol nagarmota pivoine mandarine patchouli ambre goyave cardamome,intense riche robuste puissant boisé hiver automne marron nuit quotidien
The Nue Co.,BOISÉ,MUSQUÉ,Inconnu,Niche,US,Royaume-Uni,Unisexe,2025,mousse cèdre musc vétiver haïti bergamote iris orange patchouli indonésie poire ambrofix ambre gris,automne puissant quotidien décontracté boisé hiver riche musqué intense robuste
Givenchy,CITRUS,CITRUS,Bruno Jovanovic,Niche,TAPAGEUR,France,Unisexe,2025,bois de santal mandarine verte iris thé noir fleur doranger tunisie,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Guerlain,FLORAL,VERT,Delphine Jelk,Niche,ROSA VERDE,France,Unisexe,2025,musc concombre rose poire,quotidien décontracté jour florissant floral automne liberté gai heureux optimiste
L'Occitane,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Mass Market,NÉROLI & ORCHIDÉE EAU HARMONIEUSE 2025,France,Femme,2025,musc bois de santal notes boisées néroli fleur doranger notes solaires sureau noir graine dambrette mandarine vanille,quotidien rond décontracté riche robuste intense puissant généreux jour automne
Rabanne,FLORAL,FLORAL,"Loc Dong,Aliénor Massenet,Nathalie Benareau,Suzy Le Helley",Prestige,MILLION GOLD FOR HER PURE JASMINE 2025,Espagne,Femme,2025,salé ylangylang jasmin sambac tonkalactone mandarine poire vanille bourbon jasmin notes minérales lavande musc noix de coco,quotidien florissant floral rond romantique décontracté jour blanc propre féminin
Givenchy,CITRUS,CITRUS,Fabrice Pellegrin,Niche,L'ENFANT TERRIBLE,France,Unisexe,2025,bergamote musc ciste labdanum gingembre thé noir cèdre virginie,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Yves Rocher,BOISÉ,CITRUS,"Nadège Le Garlantezec,Guillaume Flavigny",Mass Market,GRANIT BLEU,France,Homme,2025,vétiver algues bergamote,quotidien décontracté robuste intense riche puissant jour exotique boisé fort
Ajmal,BOISÉ,AMBRÉ (ORIENTAL),Inconnu,Prestige,EAU D'OUD,Émirats Arabes Unis,Unisexe,2025,agrumes ambre notes florales oud bois dagar musc notes épicées,intense riche robuste puissant boisé hiver automne nuit elégant noir
Givenchy,CITRUS,CITRUS,Fabrice Pellegrin,Niche,DÉSOBÉISSANT,France,Unisexe,2025,cédrat aiguilles de pin cardamome cèdre virginie thé noir,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Ajmal,CUIR,BOISÉ,"Fabrice Pellegrin,Coralie Spicher",Niche,CHAPTER 5,Émirats Arabes Unis,Unisexe,2025,bouleau bois secs mousse cèdre encens olibanum vanille encre oud bois dagar,intense riche robuste puissant nuit hiver profond tapeàlœil automne affirmé
Ajmal,CUIR,FRUITÉ,Nathalie Lorson,Niche,CHAPTER 4,Émirats Arabes Unis,Unisexe,2025,cèdre bois de santal cuir caramel encens olibanum poivre rose davana patchouli baume pérou cypriol nagarmota cerise noire,intense riche robuste puissant tapeàlœil exotique remarquable automne affirmé lourd
Ajmal,FLORAL,FRUITÉ,Benjamin Belizon,Niche,CHAPTER 3,Émirats Arabes Unis,Unisexe,2025,ambre bois de santal musc abricot baies rouges notes vertes rose osmanthus pêche,quotidien jour romantique riche décontracté coloré gai heureux optimiste liberté
Ajmal,FLORAL,ALDÉHYDÉ,Dalia Izem,Niche,CHAPTER 2,Émirats Arabes Unis,Unisexe,2025,epices fraîches thé noir jasmin heliotrope musc amande bois de santal vanille iris,florissant floral quotidien propre blanc liberté décontracté jour féminin romantique
Ajmal,BOISÉ,EPICÉ,Maxime Exler,Niche,CHAPTER 1,Émirats Arabes Unis,Unisexe,2025,cashmeran boisé musqué cypriol nagarmota cardamome figue bois de santal musc fève tonka ambre patchouli,intense riche robuste puissant marron hiver automne elégant boisé gris
Tsu Lange Yor,BOISÉ,EPICÉ,Inconnu,Niche,BY YOUR SIDE,Australie,Unisexe,2025,poivre noir notes boisées cardamome cuir encens olibanum poivre rose cypriol nagarmota cèdre ciste labdanum,intense riche robuste puissant hiver automne elégant boisé marron gris
Aesop,FLORAL,BOISÉ,Céline Barel,Niche,AURNER,Australie,Unisexe,2025,cardamome poivre rose cypriol nagarmota camomille bois de santal géranium feuilles de magnolia cèdre,quotidien riche décontracté intense robuste puissant rond automne jour elégant
Ajmal,CUIR,BOISÉ,Inconnu,Prestige,AMBER LEATHER,Émirats Arabes Unis,Unisexe,2025,notes épicées ambre notes florales cuir,intense riche robuste puissant automne hiver affirmé confiant elégant original
4711,CITRUS,CITRUS,Leonardo Lucheze,Mass Market,4711 REMIX CALIFORNIA FEELING,Allemagne,Unisexe,2025,fleur doranger framboise mandarine jasmin rose musc bergamote orange amère ambre,quotidien décontracté jour eté lumière radiant stimulant optimiste liberté frais
Giorgio Armani,BOISÉ,BOISÉ,Inconnu,Prestige,STRONGER WITH YOU SANDALWOOD,Italie,Homme,2025,safran châtaigne lavande vanille bois de santal,intense riche robuste puissant boisé terreux hiver automne marron elégant
Givenchy,FLORAL,BOISÉ,"Anne Flipo,Dominique Ropion,Fanny Bal",Prestige,L'INTERDIT ANGÉLIQUE ROUGE 2025,France,Femme,2025,ciste labdanum orange sanguine fleur doranger figue de barbarie angélique vétiver haïti patchouli indonésie tubéreuse gingembre jasmin inde,quotidien riche décontracté intense robuste puissant rond automne jour elégant
Calvin Klein,BOISÉ,AMBRÉ (ORIENTAL),Mathieu Nardin,Prestige,ETERNITY AMBER ESSENCE FOR MEN 2025,États-Unis d'Amérique,Homme,2025,ambre vanille bourbon patchouli bergamote encens olibanum mandarine verte benjoin accord propre,intense riche robuste puissant boisé hiver marron noir automne nuit
Calvin Klein,FLORAL,AMBRÉ (ORIENTAL),Gabriela Chelariu,Prestige,ETERNITY AMBER ESSENCE 2025,États-Unis d'Amérique,Femme,2025,cassis ylangylang jasmin sambac vanille tubéreuse benjoin bergamote clearwood note patchouli angélique bois fumés ciste labdanum,rond quotidien riche décontracté charnel violet intense robuste puissant floral
Carolina Herrera,FLORAL,CHYPRE,Jean-Christophe Hérault,Niche,CUTE CHAOS,États-Unis d'Amérique,Femme,2025,patchouli magnolia cassis mousse bergamote tubéreuse,quotidien riche florissant féminin robuste intense puissant décontracté elégant automne
Coach,FOUGÈRE AROMATIQUE,FOUGÈRE AROMATIQUE,Juliette Karagueuzoglou,Prestige,COACH FOR MEN EAU DE PARFUM,États-Unis d'Amérique,Homme,2025,cardamome cèdre cuir géranium vétiver bergamote,quotidien décontracté jour dynamique energisant sportif eté intense pétillant aromatique
Chloé,FLORAL,VERT,Cécile Matton,Prestige,CHLOÉ NOMADE LUMIÈRE D'ÉGYPTE,France,Femme,2025,jasmin grandiflorum résine délémi baies rouges accord kyphi lotus,quotidien florissant vert floral printemps gai heureux optimiste liberté décontracté
Chloé,BOISÉ,CITRUS,"Quentin Bisch,Louise Turner",Niche,CEDRUS INTENSE,France,Femme,2025,cypriol nagarmota feuilles santal australie vétiver inde bergamote cèdre chine rose cardamome,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Bulgari,FLORAL,MUSQUÉ,Sophie Labbé,Prestige,AMUNAE,Italie,Unisexe,2025,aldéhyde graine dambrette musc jasmin chêne encens olibanum,quotidien rond propre décontracté jour automne vaporeux blanc romantique confortable
Billie Eilish,BOISÉ,CITRUS,Frank Vöelkl,Prestige,YOUR TURN,États-Unis d'Amérique,Unisexe,2025,cardamome pêche musc jasmin à floraison nocturne bergamote santal australie gingembre lait de coco accord boisé ambré,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
M. Micallef,AMBRÉ (ORIENTAL),FRUITÉ,Thierry Romeo,Niche,HYPNOTIC MUSK,France,Femme,2025,litchi bergamote bois de santal gingembre caramel iris vanille musc framboise ambre gris violette,intense riche robuste puissant généreux quotidien girly sucré lourd tapeàlœil
Carolina Herrera,FLORAL,FRUITÉ,Emilie Coppermann,Prestige,212 VIP ROSÉ NY RODEO 2025,États-Unis d'Amérique,Femme,2025,champagne rosé patchouli queenwood baies rouges pivoine,quotidien riche jour décontracté exotique romantique intense robuste puissant automne
Carolina Herrera,FOUGÈRE AROMATIQUE,BOISÉ,"Juliette Karagueuzoglou,Carlos Benaïm",Prestige,212 VIP BLACK RODEO 2025,États-Unis d'Amérique,Homme,2025,cuir ciste labdanum romarin absinthe patchouli vétiver lavandin poivre noir lavande,quotidien décontracté intense robuste puissant jour pétillant energisant sportif elégant
Carolina Herrera,AMBRÉ (ORIENTAL),FOUGÈRE AROMATIQUE,"Juliette Karagueuzoglou,Carlos Benaïm",Prestige,212 VIP MEN BLACK ELIXIR,États-Unis d'Amérique,Homme,2025,réglisse vanille safran lavande vétiver pamplemousse chêne fleur doranger baies de genièvre,intense puissant robuste riche décontracté généreux quotidien nuit lourd tapeàlœil
Chopard,FLORAL,AMBRÉ (ORIENTAL),Dora Baghriche,Mass Market,TUBÉREUSE MAHARANÉ,Suisse,Femme,2025,patchouli indonésie poire cèdre virginie ylangylang tubéreuse bergamote chocolat blanc ambrox ambre gris santal australie,rond quotidien riche intense robuste puissant décontracté charnel violet généreux
Chopard,FLORAL,FLORAL,Dora Baghriche,Mass Market,GARDÉNIA TAHIA,Suisse,Femme,2025,noix de coco ylangylang vanille bourbon cacao gardénia rhubarbe amande mandarine fève tonka,quotidien floral florissant rond romantique riche propre décontracté jour féminin
Chopard,CHYPRE,FLORAL,Dora Baghriche,Mass Market,ANGÉLIQUE BEGUM,Suisse,Femme,2025,mandarine vétiver haïti angélique cèdre virginie benjoin siam poivre rose safran patchouli indonésie fleur doranger,riche intense robuste puissant elégant féminin violet sophistiqué mousseux automne
4711,FLORAL,MUSQUÉ,Florian Gallo,Mass Market,4711 DAISY EAU DE COLOGNE,Allemagne,Femme,2025,musc vanille notes boisées jasmin grandiflorum freesia melon miel margerite pivoine bergamote,quotidien rond blanc décontracté propre jour romantique automne charnel confortable
Clive Christian,BOISÉ,CITRUS,Ilias Ermenidis,Niche,L RED TEA VETIVER,Royaume-Uni,Unisexe,2025,poivre rose cashmeran boisé musqué citron ambrox ambre gris bergamote thé rouge rooibos vétiver haïti bois de santal musc,quotidien décontracté robuste elégant intense riche puissant automne haïti généreux
Givenchy,BOISÉ,AMBRÉ (ORIENTAL),Karine Dubreuil-Sereni,Prestige,GENTLEMAN SOCIETY EAU DE PARFUM AMBRÉE,France,Homme,2025,vétiver haïti vanille madagascar narcisse ciste labdanum baume pérou noix de muscade sauge sclarée santal australie feuille de tabac opoponax iris cuir vétiver baies de genièvre,intense riche robuste puissant boisé hiver nuit marron noir automne
Pierre Guillaume Paris,AMBRÉ (ORIENTAL),FLORAL,Pierre Guillaume,Niche,20.2 EGLISE DE VELOURS,France,Unisexe,2025,encens olibanum myrrhe fleur de soie bois hinoki musc,riche intense robuste puissant décontracté quotidien rond généreux hiver automne
Obvious,FLORAL,MUSQUÉ,Meabh McCurtin,Niche,UN ÉTÉ,France,Unisexe,2025,thé maté baume pérou tangerine vanille gingembre mandarine fleur doranger fève tonka thé matcha,unisexe quotidien rond décontracté blanc propre jour automne romantique charnel
Anfas by Asim Al Qassim,FLORAL,CITRUS,Inconnu,Niche,SAMAHA,Émirats Arabes Unis,Unisexe,2025,musc jasmin marine néroli cèdre poivre rose agrumes rose,quotidien décontracté jour florissant floral coloré exotique eté romantique lumière
Anfas by Asim Al Qassim,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Niche,MAHABA,Émirats Arabes Unis,Unisexe,2025,ylangylang fève tonka rose petitgrain jasmin vanille,floral riche automne féminin quotidien florissant exotique robuste intense puissant
Bath &amp; Body Works,FLORAL,FRUITÉ,Inconnu,Mass Market,COVERED IN ROSES,États-Unis d'Amérique,Unisexe,2025,baies rouges rose ambre,quotidien exotique décontracté jour coloré floral automne florissant romantique eté
L'Occitane,CITRUS,CITRUS,Fabrice Pellegrin,Mass Market,THÉ VERT,France,Unisexe,2025,citron cardamome notes boisées orange jasmin bergamote cèdre thé maté musc ambre thé vert,quotidien décontracté jour pétillant vigoureux acide energisant sportif printemps eté
L'Occitane,FOUGÈRE AROMATIQUE,FOUGÈRE AROMATIQUE,Fabrice Pellegrin,Mass Market,LAVANDE POIVRE NOIR,France,Unisexe,2025,musc lavande cannelle résine délémi poivre noir noix de muscade cèdre,quotidien décontracté jour dynamique pétillant energisant sportif eté intense frais
L'Occitane,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Karine Dubreuil-Sereni,Mass Market,CÈDRE ENCENS,France,Homme,2025,vanille figuier fève tonka feuilles de bouleau encens olibanum cèdre atlas poivre rose bergamote ambre cyprès cannelle,intense riche robuste puissant nuit oriental ambré rond lourd tapeàlœil
Jaguar,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Dominique Preyssas,Mass Market,JAGUAR ERA ELIXIR,Royaume-Uni,Homme,2025,poivre noir fève tonka cuir cèdre safran vanille feuilles de violettes tangerine cashmeran boisé musqué pastèque résine délémi musc bergamote pamplemousse sauge sclarée cardamome patchouli chocolat blanc caramel muguet lavande bois de santal benjoin siam daim noix de muscade feuille de tabac,intense riche robuste puissant nuit oriental ambré rond lourd tapeàlœil
Franck Olivier,FLORAL,FLORAL,Inconnu,Mass Market,MAGNETIC ROSE,France,Unisexe,2025,vanille rose ambroxan ambre gris cèdre patchouli baies rouges encens olibanum safran orange fraise,quotidien floral florissant rond romantique décontracté jour riche féminin blanc
Franck Olivier,AMBRÉ (ORIENTAL),GOURMAND,Inconnu,Mass Market,DULCE DE LECHE,France,Unisexe,2025,chocolat vanille caramel,intense riche puissant robuste nuit généreux chaud boisé mystique chaleur
Phlur,FLORAL,AMBRÉ (ORIENTAL),Frank Vöelkl,Niche,GOLDEN RULE,États-Unis d'Amérique,Unisexe,2025,bois de santal fleur doranger poire benjoin crème chantilly jasmin poivre rose lait de coco mandarine,rond quotidien riche décontracté intense robuste puissant généreux automne charnel
Atelier Rebul,BOISÉ,CITRUS,Inconnu,Prestige,ÉLIXIR 3,Turquie,Unisexe,2025,citron muguet mandarine cèdre mousse,quotidien décontracté robuste intense riche puissant automne jour terreux elégant
Atelier Rebul,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Inconnu,Prestige,ÉLIXIR 2,Turquie,Unisexe,2025,musc ciste labdanum ambre prune vanille,nuit intense riche robuste puissant généreux hiver oriental chaud chaud
19-69,CITRUS,CITRUS,Inconnu,Niche,SAN PEDRO,Suède,Unisexe,2025,cactus musc cashmeran boisé musqué bergamote vétiver citron pêche violette litsea cubeba menthe citronnée,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
M. Micallef,BOISÉ,AMBRÉ (ORIENTAL),Inconnu,Niche,RED PLANET,France,Unisexe,2025,safran jasmin ambre gris ambre mousse de chêne rose praline,intense riche puissant robuste hiver boisé nuit automne profond elégant
M. Micallef,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Niche,LADY LIKE,France,Unisexe,2025,musc litchi griotte vanille amande pivoine mandarine iris fève tonka,quotidien riche décontracté généreux intense robuste puissant jour exotique sucré
Sana Jardin,FLORAL,CITRUS,Inconnu,Niche,AIR OF AQUARIUS,France,Unisexe,2025,lavande jasmin petitgrain musc citron romarin muguet tangerine néroli tunisie ambroxan ambre gris,quotidien décontracté jour blanc radiant printemps ensoleillé optimiste liberté propre
Carolina Herrera,FLORAL,AMBRÉ (ORIENTAL),"Quentin Bisch,Christophe Raynaud,Shyamala Maisondieu",Prestige,GOOD GIRL BLUSH BOWTASTIC 2025,États-Unis d'Amérique,Femme,2025,pivoine mandarine rose ylangylang madagascar fève tonka amande bergamote vanille madagascar,rond quotidien riche intense robuste puissant décontracté généreux charnel violet
N.C.P Olfactives,FLORAL,FLORAL,Inconnu,Niche,302 MY ROSE,Danemark,Unisexe,2025,patchouli safran rose cèdre ciste labdanum rose damascena vanille,quotidien florissant romantique décontracté jour printemps riche blanc rond intense
Ajmal,BOISÉ,CITRUS,Inconnu,Prestige,ELECTRIC OUD,Émirats Arabes Unis,Unisexe,2025,ambre cèdre musc jasmin oud bois dagar safran agrumes muguet,robuste elégant intense riche puissant automne chic sophistiqué hiver quotidien
Anfas by Asim Al Qassim,CITRUS,FRUITÉ,Inconnu,Niche,DARI,Émirats Arabes Unis,Unisexe,2025,notes poudrées pêche safran framboise ambre ananas jasmin mousse de chêne mangue orange,eté quotidien liberté optimiste printemps jour blanc vacances gai heureux
Widian,BOISÉ,FLORAL,Philippine Courtière,Niche,SAMAR,Émirats Arabes Unis,Unisexe,2025,oud bois dagar framboise vanille clou de girofle jasmin bergamote patchouli poivre rose gardénia osmanthus cannelle ciste labdanum,riche intense robuste puissant quotidien décontracté automne elégant hiver boisé
M. Micallef,AMBRÉ (ORIENTAL),MUSQUÉ,Inconnu,Niche,PISTACHIO CHIC,France,Unisexe,2025,poire bergamote pistache crème chantilly notes boisées noix de coco lavande crème glacée musc praline,rond puissant décontracté automne hiver fixateur riche quotidien généreux intense
Henry Rose,AMBRÉ (ORIENTAL),GOURMAND,Pascal Gaurin,Niche,DAVE,États-Unis d'Amérique,Unisexe,2025,vanille cacao fève tonka crème chantilly fleur damandier lavandin néroli fleur doranger tangerine poivre rose,nuit généreux intense riche puissant robuste sucré chaud chaud hiver
M. Micallef,BOISÉ,AMBRÉ (ORIENTAL),Inconnu,Niche,CRÈME DE LA CRÈME,France,Unisexe,2025,macadamia massoia crème chantilly fève tonka jasmin néroli rose ylangylang musc baume de tolu ambre gris cèdre bois de santal café,intense riche puissant robuste boisé automne hiver nuit généreux chaud
M. Micallef,AMBRÉ (ORIENTAL),GOURMAND,Inconnu,Niche,CHOCOLATE FONDANT,France,Unisexe,2025,miel café pomme ambre cuir bois de santal magnolia tubéreuse fève tonka costus cacao pêche ananas heliotrope musc vanille,nuit généreux intense riche puissant robuste sucré chaud chaud hiver
M. Micallef,AMBRÉ (ORIENTAL),GOURMAND,Inconnu,Niche,BLUEBERRY NIGHT,France,Unisexe,2025,framboise vanille myrtille bois de rose palissandre orange mousse caramel musc patchouli,intense riche puissant nuit généreux robuste chaud chaud sucré hiver
M. Micallef,FLORAL,MUSQUÉ,Inconnu,Niche,BELLINI,France,Unisexe,2025,rhum vanille vétiver miel heliotrope orange sanguine bois de santal jasmin patchouli pêche,quotidien rond décontracté jour blanc propre automne romantique confortable charnel
19-69,FOUGÈRE AROMATIQUE,AQUEUX,Inconnu,Niche,AMERICAN PSYCHO,Suède,Unisexe,2025,vétiver bergamote cèdre sauge sclarée jasmin muguet aiguilles de pin bois de santal œillet aqueux bois de gaïac ambre,dynamique eté frais marin ozone sportif aqueux printemps gelé quotidien
Ghawali,BOISÉ,AMBRÉ (ORIENTAL),Inconnu,Niche,CLOSER APART,Arabie Saoudite,Unisexe,2025,poire cèdre musc rose caramel ambrocenide boisé ambré gingembre lavande mandarine,robuste intense riche puissant automne décontracté boisé hiver quotidien elégant
Victoria's Secret,FLORAL,FRUITÉ,Jérôme Epinette,Mass Market,WILD WILLOW,États-Unis d'Amérique,Femme,2025,figue fleur damandier riz vanille fève tonka musc,quotidien romantique exotique gai heureux optimiste liberté joyeux jour coloré
Aerin,FLORAL,FLORAL,Harry Frémont,Niche,TUBEROSE GARDENIA,États-Unis d'Amérique,Femme,2025,vanille gardénia hedione jasminé jasmin tubéreuse lilas œillet lys fleur doranger bois de rose palissandre néroli,quotidien floral florissant rond romantique décontracté jour riche féminin blanc
Estée Lauder,FLORAL,VERT,Honorine Blanc-Hattab,Prestige,BRONZE GODDESS AEGEA,États-Unis d'Amérique,Femme,2025,figue bergamote feuilles de violettes musc bois de santal ylangylang jasmin sambac lait de coco bougainvillier,quotidien florissant vert floral printemps gai heureux optimiste liberté décontracté
Atelier Rebul,BOISÉ,AMBRÉ (ORIENTAL),Inconnu,Prestige,ÉLIXIR 6,Turquie,Unisexe,2025,oud bois dagar muguet musc cuir cyprès framboise,hiver automne intense riche robuste puissant décontracté quotidien nuit généreux
Aerin,FLORAL,CITRUS,Honorine Blanc-Hattab,Niche,MEDITERRANEAN HONEYSUCKLE FIGUE 2025,États-Unis d'Amérique,Femme,2025,ambrox ambre gris jasmin sambac feuilles de violettes chèvrefeuille bergamote tubéreuse mandarine musc poivre rose figue,quotidien décontracté jour blanc florissant lumière radiant printemps ensoleillé optimiste
Acqua di Parma,FLORAL,FLORAL,Alexandra Carlin,Niche,LUCE DI ROSA 2025,Italie,Unisexe,2025,rose bulgarie géranium bois de gaïac vétiver longoza poivre rose poivre noir bergamote cèdre,quotidien rond floral florissant romantique riche féminin décontracté jour blanc
